INT	STRING	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	名称	脚本ID	类型	停站时间(毫秒)	模型数据ID	模型高度	准乘人数	行驶速度	动作表编号0	绑定点名称0	动作表编号1	绑定点名称1	动作表编号2	绑定点名称2	动作表编号3	绑定点名称3	动作表编号4	绑定点名称4	动作表编号5	绑定点名称5	动作表编号6	绑定点名称6	动作表编号7	绑定点名称7
0	单程车	-1	0	0	1018	3.0	1	6.0	265	532	attach1	-1	-1							
1	往返车	-1	1	30000	1018	3.0	4	6.0	265	532	attach1	265	532	attach1	attach1	attach1				
2	交通工具_鹰	-1	1	20000	1021	3.0	2	12.0	264	531	骑乘点01	264	531	骑乘点02						
3	低级花车	800200	0	0	1022	4.0	2	2.0	286	553	骑乘点01	286	553	骑乘点02						
4	中级花车	800201	0	0	1023	4.0	2	2.0	286	553	骑乘点01	286	553	骑乘点02						
5	高级花车	800202	0	0	1024	4.0	2	2.0	286	553	attach1	286	553	attach2						
6	大雕（体验版）	-1	0	0	7394	3.0	1	12.0	265	532	attach1	-1	-1							
7	雪橇	-1	0	0	7698	3.0	6	9.0	1180	1180	attach1	1179	1179	attach2	attach3	attach4	attach5	attach6		
8	云端雪	791095	0	0	7891	3.0	2	9.0	292	559	attach1	292	559	attach2						
9	游船bus	998293	0	0	7869	4.0	2	9.0	1210	1210	attach1	1210	1210	attach2						
10	夜墨风	791095	0	0	7892	3.0	2	9.0	292	559	attach1	292	559	attach2						
11	赤灵驹	791095	0	0	7893	3.0	2	9.0	292	559	attach1	292	559	attach2						
12	低级花车	800200	0	0	7870	4.0	2	2.0	1211	1211	attach1	1211	1211	attach2						
13	中级花车	800201	0	0	7871	4.0	2	2.0	1211	1211	attach1	1211	1211	attach2						
14	高级花车	800202	0	0	7872	4.0	2	2.0	1211	1211	attach1	1211	1211	attach2						
